Wort;mentions_word;Bereich;SearchCluster;Notes;Region
europ;71220;Außenpolitik;Außenbeziehung;EU-Angelegenheiten;
wirtschaft;45357;Innenpolitik;;;
europa;32761;Außenpolitik;Außenbeziehung;EU-Angelegenheiten;
haushalt;24676;Innenpolitik;;;
famili;22995;Innenpolitik;;;
einsatz;16518;Außenpolitik;Sicherheit;;
nachhalt;16353;Außenpolitik;Umwelt/Natur/Klima;;
volk;16111;Innenpolitik;;;
zusammenarbeit;15840;Sonst.;;;
soldat;14783;Außenpolitik;Sicherheit;;
bundeswehr;14727;Außenpolitik;Sicherheit;;
jugend;14140;Innenpolitik;;;
milit;13872;Außenpolitik;Sicherheit;;
grundgesetz;13514;Innenpolitik;;;
energi;13338;Außenpolitik;Umwelt/Natur/Klima;Energie;
wissenschaft;12618;Innenpolitik;;;
demokrati;12291;Sonst.;;;
menschenrecht;12245;Sonst.;;;
landwirtschaft;12017;Innenpolitik;Landwirtschaft;;
investition;11816;Innenpolitik;;;
chtling;11727;Außenpolitik;Migration;;
demokrat;11583;Sonst.;;;
afghanistan;11274;Außenpolitik;Außenbeziehung;Land/Region;Afghanistan
rent;11064;Innenpolitik;;;
arbeitspl;11016;Innenpolitik;;;
arbeitnehm;10983;Innenpolitik;;;
ausbild;10851;Innenpolitik;;;
schul;10843;Innenpolitik;;;
bank;10781;Innenpolitik;Finanzkrise;;
freiheit;10202;Sonst.;;;
russland;9081;Außenpolitik;Außenbeziehung;Land/Region;Russland
digital;9065;Innenpolitik;;;
erneuerbar;9059;Außenpolitik;Umwelt/Natur/Klima;Energie;
arbeitsmarkt;8827;Innenpolitik;Finanzkrise;;
krieg;8751;Außenpolitik;Sicherheit;;
arbeitslos;8693;Innenpolitik;;;
infrastruktur;8260;Innenpolitik;;;
klimaschutz;8177;Außenpolitik;Umwelt/Natur/Klima;;
technologi;8013;Innenpolitik;;;
mindestlohn;7818;Innenpolitik;;;
umwelt;7810;Außenpolitik;Umwelt/Natur/Klima;;
humanit;7771;Sonst.;;;
transparenz;7697;Sonst.;;;
markt;7696;Innenpolitik;;;
einkomm;7595;Innenpolitik;;;
verkehr;7540;Innenpolitik;;;
mitgliedstaat;7390;Außenpolitik;Außenbeziehung;EU-Angelegenheiten;
griechenland;7188;Außenpolitik;Außenbeziehung;Land/Region;Griechenland
kultur;7165;Innenpolitik;;;
